fold,epoch,step,val_auroc,val_pr_auc,val_loss
1,0,95,0.5398415923118591,0.4060202538967132,0.0689171552658081
1,1,191,0.5293569564819336,0.4087794423103332,0.0718000307679176
1,2,287,0.5328518152236938,0.4371329545974731,0.0848027914762497
1,3,383,0.5302889347076416,0.4259743690490722,0.0723020508885383
1,4,479,0.5232991576194763,0.4814700484275818,0.0735565200448036
1,5,575,0.5251631140708923,0.443684846162796,0.0769576802849769
1,6,671,0.5156104564666748,0.464855819940567,0.079707033932209
1,7,767,0.5088536739349365,0.46977299451828,0.103601336479187
1,8,863,0.5477632880210876,0.4977344274520874,0.100151389837265
1,9,959,0.5475302934646606,0.4933490455150604,0.123438149690628
1,10,1055,0.5295899510383606,0.4573722183704376,0.2118103057146072
1,11,1151,0.5736253261566162,0.510407030582428,0.1889883130788803
1,12,1247,0.5580149292945862,0.501640260219574,0.2479910254478454
1,13,1343,0.571062445640564,0.5215829014778137,0.252416580915451
1,14,1439,0.569664478302002,0.5095353722572327,0.2984952330589294
1,15,1535,0.5771202445030212,0.5174033045768738,0.3033595979213714
1,16,1631,0.5785181522369385,0.5233032703399658,0.3001657724380493
1,17,1727,0.5680335760116577,0.5127332210540771,0.3364699184894562
1,18,1823,0.5552189946174622,0.4931958317756653,0.442349374294281
1,19,1919,0.5393756031990051,0.4768005609512329,0.4400788247585296
1,20,2015,0.5524231195449829,0.4899487793445587,0.429219901561737
2,0,95,0.5604672431945801,0.442669004201889,0.0686155557632446
2,1,191,0.6387998461723328,0.5654318332672119,0.0661558583378791
2,2,287,0.5728355646133423,0.4549322128295898,0.0676025077700614
2,3,383,0.6291800141334534,0.5204541683197021,0.0652697011828422
2,4,479,0.5803939700126648,0.4852692186832428,0.0736095905303955
2,5,575,0.6161245703697205,0.5330686569213867,0.0739822760224342
2,6,671,0.6330737471580505,0.5216066837310791,0.0737585350871086
2,7,767,0.6516262292861938,0.5467253923416138,0.0760013088583946
